2theta	Sample_A	Sample_B	Sample_C
22.5	35.428	74.843	43.428
22.6	35.319	67.236	43.319
22.7	35.211	61.659	43.211
22.8	35.105	57.671	43.105
22.9	35.0	54.883	43.0
23.0	34.897	52.975	42.897
23.1	34.795	51.69	42.795
23.2	34.694	50.833	42.695
23.3	34.595	50.264	42.596
23.4	34.498	49.881	42.498
23.5	34.402	49.617	42.402
23.6	34.307	49.425	42.308
23.7	34.214	49.277	42.216
23.8	34.123	49.156	42.125
23.9	34.034	49.05	42.037
24.0	33.946	48.954	41.951
24.1	33.859	48.863	41.868
24.2	33.775	48.777	41.788
24.3	33.692	48.693	41.714
24.4	33.611	48.611	41.646
24.5	33.531	48.532	41.587
24.6	33.454	48.454	41.541
24.7	33.378	48.378	41.514
24.8	33.304	48.304	41.512
24.9	33.232	48.232	41.547
25.0	33.162	48.162	41.634
25.1	33.094	48.094	41.794
25.2	33.027	48.027	42.053
25.3	32.963	47.963	42.45
25.4	32.901	47.901	43.032
25.5	32.84	47.84	43.861
25.6	32.782	47.782	45.017
25.7	32.725	47.725	46.599
25.8	32.671	47.671	48.725
25.9	32.618	47.618	51.542
26.0	32.568	47.568	55.22
26.1	32.52	47.52	59.955
26.2	32.473	47.473	65.971
26.3	32.429	47.429	73.511
26.4	32.387	47.387	82.835
26.5	32.347	47.347	94.214
26.6	32.31	47.309	107.913
26.7	32.274	47.274	124.182
26.8	32.24	47.24	143.238
26.9	32.209	47.209	165.246
27.0	32.18	47.18	190.3
27.1	32.154	47.153	218.402
27.2	32.13	47.128	249.444
27.3	32.109	47.105	283.195
27.4	32.091	47.085	319.287
27.5	32.077	47.067	357.212
27.6	32.069	47.05	396.325
27.7	32.068	47.037	435.859
27.8	32.077	47.025	474.939
27.9	32.102	47.016	512.616
28.0	32.15	47.008	547.903
28.1	32.231	47.003	579.812
28.2	32.363	47.001	607.408
28.3	32.569	47.0	629.844
28.4	32.881	47.002	646.413
28.5	33.347	47.006	656.58
28.6	34.03	47.012	660.012
28.7	35.014	47.02	656.595
28.8	36.411	47.031	646.442
28.9	38.365	47.043	629.887
29.0	41.055	47.058	607.465
29.1	44.704	47.076	579.885
29.2	49.577	47.095	547.989
29.3	55.986	47.117	512.718
29.4	64.283	47.14	475.055
29.5	74.855	47.166	435.989
29.6	88.109	47.194	396.469
29.7	104.456	47.225	357.37
29.8	124.285	47.257	319.459
29.9	147.93	47.292	283.382
30.0	175.637	47.329	249.645
30.1	207.526	47.367	218.617
30.2	243.553	47.408	190.529
30.3	283.477	47.452	165.489
30.4	326.833	47.497	143.494
30.5	372.92	47.544	124.452
30.6	420.801	47.593	108.197
30.7	469.319	47.645	94.511
30.8	517.138	47.698	83.146
30.9	562.797	47.754	73.835
31.0	604.779	47.812	66.309
31.1	641.596	47.871	60.307
31.2	671.871	47.933	55.584
31.3	694.43	47.997	51.92
31.4	708.372	48.064	49.116
31.5	713.129	48.134	47.002
31.6	708.508	48.207	45.434
31.7	694.703	48.285	44.29
31.8	672.281	48.371	43.473
31.9	642.141	48.468	42.903
32.0	605.461	48.581	42.519
32.1	563.615	48.719	42.272
32.2	518.092	48.897	42.124
32.3	470.408	49.135	42.049
32.4	422.025	49.463	42.026
32.5	374.279	49.926	42.039
32.6	328.327	50.587	42.078
32.7	285.104	51.533	42.135
32.8	245.314	52.883	42.205
32.9	209.421	54.792	42.284
33.0	177.664	57.465	42.369
33.1	150.089	61.158	42.459
33.2	126.576	66.188	42.553
33.3	106.878	72.929	42.649
33.4	90.66	81.82	42.748
33.5	77.536	93.346	42.848
33.6	67.093	108.028	42.95
33.7	58.924	126.397	43.054
33.8	52.642	148.954	43.16
33.9	47.894	176.134	43.266
34.0	44.371	208.248	43.374
34.1	41.805	245.432	43.484
34.2	39.975	287.591	43.595
34.3	38.7	334.354	43.706
34.4	37.837	385.038	43.82
34.5	37.275	438.634	43.934
34.6	36.929	493.817	44.049
34.7	36.734	548.982	44.166
34.8	36.646	602.316	44.283
34.9	36.63	651.883	44.402
35.0	36.663	695.744	44.521
35.1	36.728	732.077	44.642
35.2	36.816	759.304	44.763
35.3	36.917	776.205	44.886
35.4	37.027	782.009	45.009
35.5	37.144	776.452	45.133
35.6	37.264	759.798	45.258
35.7	37.387	732.818	45.384
35.8	37.512	696.733	45.51
35.9	37.638	653.119	45.637
36.0	37.765	603.798	45.765
36.1	37.893	550.71	45.893
36.2	38.022	495.789	46.022
36.3	38.151	440.851	46.151
36.4	38.281	387.5	46.281
36.5	38.412	337.059	46.412
36.6	38.543	290.539	46.543
36.7	38.674	248.622	46.674
36.8	38.806	211.679	46.806
36.9	38.938	179.805	46.938
37.0	39.07	152.865	47.07
37.1	39.203	130.545	47.203
37.2	39.335	112.414	47.335
37.3	39.468	97.967	47.468
37.4	39.601	86.675	47.601
37.5	39.735	78.018	47.735
37.6	39.868	71.508	47.868
37.7	40.001	66.709	48.001
37.8	40.135	63.244	48.135
37.9	40.268	60.798	48.268
38.0	40.401	59.114	48.402
38.1	40.534	57.988	48.536
38.2	40.667	57.264	48.67
38.3	40.8	56.823	48.805
38.4	40.932	56.578	48.941
38.5	41.065	56.465	49.079
38.6	41.197	56.442	49.221
38.7	41.328	56.476	49.37
38.8	41.46	56.547	49.528
38.9	41.591	56.641	49.703
39.0	41.721	56.75	49.902
39.1	41.851	56.867	50.139
39.2	41.98	56.99	50.432
39.3	42.109	57.114	50.808
39.4	42.238	57.24	51.303
39.5	42.365	57.367	51.968
39.6	42.492	57.493	52.87
39.7	42.619	57.619	54.097
39.8	42.744	57.744	55.764
39.9	42.869	57.869	58.013
40.0	42.993	57.993	61.021
40.1	43.116	58.116	64.999
40.2	43.239	58.239	70.194
40.3	43.36	58.36	76.885
40.4	43.481	58.481	85.38
40.5	43.6	58.6	96.003
40.6	43.719	58.719	109.079
40.7	43.836	58.836	124.917
40.8	43.953	58.953	143.783
40.9	44.068	59.068	165.872
41.0	44.183	59.183	191.279
41.1	44.296	59.296	219.969
41.2	44.407	59.407	251.751
41.3	44.518	59.518	286.256
41.4	44.628	59.628	322.926
41.5	44.736	59.736	361.018
41.6	44.843	59.842	399.613
41.7	44.948	59.948	437.65
41.8	45.052	60.052	473.968
41.9	45.155	60.155	507.364
42.0	45.257	60.256	536.655
42.1	45.358	60.356	560.748
42.2	45.459	60.454	578.711
42.3	45.56	60.551	589.827
42.4	45.664	60.646	593.646
42.5	45.772	60.74	590.016
42.6	45.889	60.832	579.089
42.7	46.022	60.922	561.315
42.8	46.182	61.011	537.41
42.9	46.387	61.098	508.308
43.0	46.663	61.184	475.1
43.1	47.05	61.267	438.969
43.2	47.602	61.349	401.12
43.3	48.401	61.43	362.712
43.4	49.556	61.508	324.807
43.5	51.213	61.585	288.322
43.6	53.564	61.659	254.003
43.7	56.851	61.732	222.406
43.8	61.372	61.803	193.9
43.9	67.477	61.873	168.676
44.0	75.569	61.94	146.77
44.1	86.082	62.005	128.086
44.2	99.466	62.069	112.429
44.3	116.151	62.13	99.533
44.4	136.506	62.19	89.089
44.5	160.791	62.247	80.772
44.6	189.102	62.303	74.258
44.7	221.321	62.356	69.239
44.8	257.075	62.407	65.436
44.9	295.7	62.457	62.601
45.0	336.243	62.504	60.524
45.1	377.471	62.549	59.028
45.2	417.928	62.592	57.97
45.3	456.009	62.633	57.236
45.4	490.061	62.672	56.737
45.5	518.498	62.709	56.407
45.6	539.929	62.744	56.195
45.7	553.263	62.778	56.064
45.8	557.806	62.809	55.987
45.9	553.321	62.839	55.947
46.0	540.045	62.869	55.929
46.1	518.673	62.898	55.925
46.2	490.294	62.929	55.93
46.3	456.301	62.964	55.939
46.4	418.278	63.005	55.95
46.5	377.878	63.057	55.962
46.6	336.708	63.127	55.972
46.7	296.224	63.224	55.982
46.8	257.656	63.363	55.989
46.9	221.96	63.56	55.995
47.0	189.797	63.843	55.999
47.1	161.544	64.247	56.0
47.2	137.316	64.816	55.999
47.3	117.018	65.612	55.997
47.4	100.389	66.71	55.992
47.5	87.061	68.206	55.984
47.6	76.604	70.217	55.975
47.7	68.568	72.885	55.963
47.8	62.518	76.375	55.949
47.9	58.052	80.878	55.933
48.0	54.819	86.605	55.915
48.1	52.523	93.787	55.894
48.2	50.919	102.661	55.872
48.3	49.818	113.466	55.847
48.4	49.073	126.427	55.82
48.5	48.573	141.738	55.791
48.6	48.239	159.544	55.759
48.7	48.015	179.921	55.726
48.8	47.861	202.86	55.69
48.9	47.752	228.243	55.652
49.0	47.669	255.835	55.612
49.1	47.602	285.269	55.57
49.2	47.543	316.047	55.526
49.3	47.489	347.549	55.48
49.4	47.436	379.041	55.431
49.5	47.383	409.707	55.381
49.6	47.33	438.675	55.328
49.7	47.275	465.062	55.274
49.8	47.218	488.016	55.217
49.9	47.159	506.76	55.159
50.0	47.098	520.636	55.098
50.1	47.036	529.144	55.036
50.2	46.971	531.971	54.971
50.3	46.905	529.013	54.905
50.4	46.837	520.374	54.837
50.5	46.767	506.368	54.767
50.6	46.695	487.493	54.695
50.7	46.621	464.409	54.621
50.8	46.545	437.891	54.545
50.9	46.467	408.793	54.467
51.0	46.388	377.998	54.388
51.1	46.307	346.376	54.307
51.2	46.224	314.745	54.224
51.3	46.139	283.838	54.139
51.4	46.053	254.276	54.053
51.5	45.965	226.556	53.965
51.6	45.875	201.045	53.875
51.7	45.784	177.979	53.784
51.8	45.691	157.475	53.691
51.9	45.596	139.544	53.597
52.0	45.5	124.108	53.501
52.1	45.403	111.022	53.403
52.2	45.304	100.093	53.305
52.3	45.203	91.096	53.205
52.4	45.101	83.792	53.104
52.5	44.998	77.943	53.002
52.6	44.893	73.319	52.9
52.7	44.787	69.708	52.797
52.8	44.679	66.921	52.696
52.9	44.571	64.792	52.596
53.0	44.46	63.179	52.5
53.1	44.349	61.964	52.41
53.2	44.237	61.054	52.328
53.3	44.123	60.37	52.261
53.4	44.008	59.853	52.212
53.5	43.892	59.458	52.192
53.6	43.775	59.149	52.212
53.7	43.657	58.902	52.286
53.8	43.538	58.696	52.435
53.9	43.418	58.518	52.684
54.0	43.297	58.36	53.067
54.1	43.175	58.214	53.625
54.2	43.052	58.076	54.41
54.3	42.929	57.943	55.483
54.4	42.804	57.813	56.922
54.5	42.679	57.684	58.814
54.6	42.553	57.556	61.263
54.7	42.426	57.428	64.386
54.8	42.299	57.3	68.313
54.9	42.171	57.171	73.186
55.0	42.042	57.042	79.154
55.1	41.913	56.913	86.371
55.2	41.783	56.783	94.986
55.3	41.653	56.653	105.14
55.4	41.522	56.522	116.957
55.5	41.391	56.391	130.53
55.6	41.26	56.26	145.916
55.7	41.128	56.128	163.123
55.8	40.996	55.996	182.103
55.9	40.863	55.863	202.741
56.0	40.731	55.731	224.849
56.1	40.598	55.598	248.166
56.2	40.465	55.465	272.355
56.3	40.331	55.333	297.009
56.4	40.198	55.2	321.659
56.5	40.065	55.068	345.786
56.6	39.932	54.936	368.84
56.7	39.798	54.805	390.259
56.8	39.665	54.675	409.489
56.9	39.532	54.547	426.01
57.0	39.399	54.421	439.358
57.1	39.266	54.298	449.147
57.2	39.133	54.181	455.088
57.3	39.001	54.071	457.001
57.4	38.869	53.969	454.824
57.5	38.737	53.881	448.618
57.6	38.605	53.81	438.564
57.7	38.474	53.763	424.952
57.8	38.344	53.747	408.167
57.9	38.213	53.773	388.674
58.0	38.084	53.852	366.993
58.1	37.955	54.002	343.676
58.2	37.826	54.243	319.286
58.3	37.698	54.598	294.375
58.4	37.571	55.097	269.461
58.5	37.444	55.777	245.012
58.6	37.318	56.677	221.436
58.7	37.193	57.849	199.07
58.8	37.068	59.346	178.176
58.9	36.945	61.231	158.94
59.0	36.822	63.575	141.478
59.1	36.7	66.452	125.838
59.2	36.579	69.943	112.013
59.3	36.459	74.131	99.946
59.4	36.34	79.1	89.542
59.5	36.222	84.933	80.68
59.6	36.105	91.705	73.217
59.7	35.989	99.484	67.004
59.8	35.874	108.323	61.888
59.9	35.76	118.255	57.72
60.0	35.648	129.292	54.358
60.1	35.537	141.419	51.671
60.2	35.427	154.587	49.544
60.3	35.318	168.713	47.872
60.4	35.21	183.679	46.568
60.5	35.104	199.326	45.554
60.6	35.0	215.461	44.77
60.7	34.896	231.855	44.162
60.8	34.794	248.248	43.691
60.9	34.694	264.357	43.322
61.0	34.595	279.88	43.031
61.1	34.498	294.508	42.797
61.2	34.403	307.934	42.605
61.3	34.309	319.862	42.444
61.4	34.218	330.02	42.305
61.5	34.129	338.17	42.183
61.6	34.043	344.115	42.072
61.7	33.961	347.708	41.97
61.8	33.883	348.859	41.875
61.9	33.811	347.537	41.784
62.0	33.746	343.773	41.698
62.1	33.692	337.658	41.614
62.2	33.651	329.337	41.533
62.3	33.629	319.008	41.455
62.4	33.631	306.91	41.378
62.5	33.667	293.315	41.304
62.6	33.747	278.517	41.232
62.7	33.886	262.825	41.162
62.8	34.102	246.548	41.093
62.9	34.419	229.986	41.027
63.0	34.866	213.424	40.962
63.1	35.479	197.122	40.9
63.2	36.302	181.308	40.84
63.3	37.389	166.177	40.781
63.4	38.801	151.885	40.725
63.5	40.611	138.553	40.67
63.6	42.901	126.262	40.618
63.7	45.764	115.062	40.567
63.8	49.302	104.968	40.519
63.9	53.623	95.968	40.473
64.0	58.842	88.029	40.429
64.1	65.075	81.098	40.387
64.2	72.436	75.108	40.347
64.3	81.03	69.981	40.309
64.4	90.95	65.638	40.274
64.5	102.269	61.992	40.24
64.6	115.033	58.962	40.209
64.7	129.251	56.466	40.18
64.8	144.895	54.43	40.153
64.9	161.889	52.784	40.128
65.0	180.105	51.465	40.105
65.1	199.364	50.417	40.085
65.2	219.428	49.593	40.066
65.3	240.011	48.95	40.05
65.4	260.777	48.453	40.037
65.5	281.35	48.073	40.025
65.6	301.323	47.784	40.016
65.7	320.274	47.567	40.008
65.8	337.775	47.407	40.003
65.9	353.413	47.289	40.001
66.0	366.803	47.205	40.0
66.1	377.604	47.146	40.002
66.2	385.534	47.106	40.007
66.3	390.383	47.082	40.013
66.4	392.02	47.068	40.022
66.5	390.402	47.063	40.034
66.6	385.572	47.066	40.048
66.7	377.661	47.073	40.066
66.8	366.879	47.086	40.086
66.9	353.508	47.102	40.111
67.0	337.888	47.121	40.14
67.1	320.406	47.143	40.174
67.2	301.474	47.168	40.214
67.3	281.52	47.196	40.263
67.4	260.966	47.226	40.322
67.5	240.219	47.258	40.395
67.6	219.654	47.292	40.484
67.7	199.608	47.329	40.596
67.8	180.368	47.368	40.736
67.9	162.17	47.409	40.913
68.0	145.194	47.452	41.136
68.1	129.569	47.497	41.42
68.2	115.368	47.545	41.779
68.3	102.623	47.594	42.233
68.4	91.322	47.645	42.805
68.5	81.42	47.699	43.524
68.6	72.843	47.754	44.421
68.7	65.5	47.812	45.536
68.8	59.284	47.871	46.912
68.9	54.083	47.933	48.598
69.0	49.779	47.996	50.649
69.1	46.259	48.062	53.127
69.2	43.413	48.129	56.095
69.3	41.139	48.198	59.624
69.4	39.346	48.27	63.783
69.5	37.951	48.343	68.644
69.6	36.88	48.417	74.275
69.7	36.073	48.494	80.741
69.8	35.476	48.573	88.099
69.9	35.045	48.653	96.392
70.0	34.743	48.735	105.652
70.1	34.543	48.819	115.891
70.2	34.42	48.904	127.098
70.3	34.355	48.991	139.238
70.4	34.334	49.08	152.249
70.5	34.347	49.171	166.039
70.6	34.384	49.263	180.485
70.7	34.439	49.357	195.433
70.8	34.507	49.452	210.703
70.9	34.586	49.549	226.085
71.0	34.671	49.647	241.35
71.1	34.763	49.747	256.248
71.2	34.859	49.848	270.522
71.3	34.958	49.951	283.91
71.4	35.059	50.055	296.152
71.5	35.163	50.16	307.006
71.6	35.269	50.267	316.245
71.7	35.376	50.375	323.674
71.8	35.485	50.485	329.132
71.9	35.596	50.596	332.501
72.0	35.708	50.707	333.707
72.1	35.821	50.821	332.726
72.2	35.935	50.935	329.582
72.3	36.05	51.05	324.349
72.4	36.167	51.167	317.144
72.5	36.284	51.284	308.13
72.6	36.403	51.403	297.5
72.7	36.522	51.522	285.481
72.8	36.643	51.643	272.317
72.9	36.764	51.764	258.266
73.0	36.887	51.887	243.589
73.1	37.01	52.01	228.547
73.2	37.134	52.134	213.385
73.3	37.259	52.259	198.336
73.4	37.385	52.385	183.607
73.5	37.511	52.511	169.379
73.6	37.638	52.638	155.807
73.7	37.766	52.766	143.013
73.8	37.894	52.894	131.088
73.9	38.023	53.023	120.095
74.0	38.153	53.153	110.07
74.1	38.283	53.283	101.022
74.2	38.413	53.413	92.939
74.3	38.544	53.544	85.791
74.4	38.675	53.675	79.533
74.5	38.807	53.807	74.108
74.6	38.939	53.939	69.452
74.7	39.071	54.071	65.497
74.8	39.204	54.204	62.17
74.9	39.336	54.336	59.401
75.0	39.469	54.469	57.122
75.1	39.603	54.603	55.267
75.2	39.736	54.736	53.776
75.3	39.869	54.869	52.593
75.4	40.002	55.002	51.669
75.5	40.136	55.136	50.961
75.6	40.269	55.269	50.429
75.7	40.402	55.402	50.041
75.8	40.535	55.535	49.77
75.9	40.668	55.668	49.591
76.0	40.801	55.801	49.485
76.1	40.934	55.934	49.437
76.2	41.066	56.066	49.434
76.3	41.198	56.198	49.465
76.4	41.33	56.33	49.522
76.5	41.461	56.461	49.598
76.6	41.592	56.592	49.689
76.7	41.722	56.722	49.791
76.8	41.852	56.852	49.9
76.9	41.982	56.982	50.015
77.0	42.11	57.11	50.133
77.1	42.239	57.239	50.254
77.2	42.366	57.366	50.377
77.3	42.493	57.493	50.501
77.4	42.62	57.62	50.625
77.5	42.745	57.745	50.749
77.6	42.87	57.87	50.872
77.7	42.994	57.994	50.996
77.8	43.118	58.118	51.118
77.9	43.24	58.24	51.24
78.0	43.361	58.361	51.362
78.1	43.482	58.482	51.482
78.2	43.601	58.601	51.602
78.3	43.72	58.72	51.72
78.4	43.837	58.837	51.838
78.5	43.954	58.954	51.954
78.6	44.069	59.069	52.069
78.7	44.184	59.184	52.184
78.8	44.297	59.297	52.297
78.9	44.408	59.408	52.408
79.0	44.519	59.519	52.519
79.1	44.628	59.628	52.628
79.2	44.737	59.737	52.737
79.3	44.843	59.843	52.843
79.4	44.949	59.949	52.949
79.5	45.053	60.053	53.053
79.6	45.156	60.156	53.156
79.7	45.257	60.257	53.257
79.8	45.357	60.357	53.357
79.9	45.455	60.455	53.455
80.0	45.552	60.552	53.552
