2Theta,Intensity
15.02,4.98
15.04,4.13
15.06,3.70
15.08,5.34
15.10,5.43
15.12,5.26
15.14,5.53
15.16,3.16
15.18,4.04
15.20,4.51
15.22,4.92
15.24,6.48
15.26,3.91
15.28,3.83
15.30,7.23
15.32,5.24
15.34,2.90
15.36,4.53
15.38,3.15
15.40,3.29
15.42,3.00
15.44,3.81
15.46,8.09
15.48,6.52
15.50,7.07
15.52,6.63
15.54,4.80
15.56,5.61
15.58,5.15
15.60,3.40
15.62,3.26
15.64,6.35
15.66,3.17
15.68,5.30
15.70,5.98
15.72,6.13
15.74,5.55
15.76,3.20
15.78,5.81
15.80,4.79
15.82,3.53
15.84,2.02
15.86,5.68
15.88,2.67
15.90,2.44
15.92,7.62
15.94,3.20
15.96,4.37
15.98,5.11
16.00,5.11
16.02,3.47
16.04,3.94
16.06,6.21
16.08,4.58
16.10,4.97
16.12,1.76
16.14,4.14
16.16,6.29
16.18,3.91
16.20,3.57
16.22,5.56
16.24,5.90
16.26,5.50
16.28,4.15
16.30,6.12
16.32,7.44
16.34,6.75
16.36,2.66
16.38,9.39
16.40,3.01
16.42,3.16
16.44,5.46
16.46,4.86
16.48,5.54
16.50,6.97
16.52,6.40
16.54,3.66
16.56,5.11
16.58,6.52
16.60,6.58
16.62,6.69
16.64,6.23
16.66,6.06
16.68,4.23
16.70,3.02
16.72,5.63
16.74,4.32
16.76,6.87
16.78,3.69
16.80,4.43
16.82,4.36
16.84,6.45
16.86,6.13
16.88,5.03
16.90,5.44
16.92,7.42
16.94,2.36
16.96,6.12
16.98,6.62
17.00,6.82
17.02,6.20
17.04,3.84
17.06,4.19
17.08,5.99
17.10,4.12
17.12,4.70
17.14,2.74
17.16,3.21
17.18,5.52
17.20,4.36
17.22,3.86
17.24,4.72
17.26,5.45
17.28,4.61
17.30,5.26
17.32,5.13
17.34,4.62
17.36,4.98
17.38,3.67
17.40,4.25
17.42,2.24
17.44,3.25
17.46,3.22
17.48,4.40
17.50,6.70
17.52,4.99
17.54,5.23
17.56,3.59
17.58,5.43
17.60,7.54
17.62,4.87
17.64,3.76
17.66,3.25
17.68,5.39
17.70,3.59
17.72,6.07
17.74,3.48
17.76,2.52
17.78,5.72
17.80,3.06
17.82,5.91
17.84,6.56
17.86,4.11
17.88,5.31
17.90,7.09
17.92,4.30
17.94,7.40
17.96,4.51
17.98,3.59
18.00,5.15
18.02,5.34
18.04,6.70
18.06,6.33
18.08,5.55
18.10,5.98
18.12,5.27
18.14,6.19
18.16,4.22
18.18,3.38
18.20,5.31
18.22,9.03
18.24,6.21
18.26,3.95
18.28,7.09
18.30,2.20
18.32,4.62
18.34,5.60
18.36,3.99
18.38,4.11
18.40,4.75
18.42,4.19
18.44,3.82
18.46,3.37
18.48,2.66
18.50,3.55
18.52,4.85
18.54,6.51
18.56,4.00
18.58,3.18
18.60,7.41
18.62,3.29
18.64,5.14
18.66,3.60
18.68,3.92
18.70,5.58
18.72,5.69
18.74,6.91
18.76,6.00
18.78,5.23
18.80,5.94
18.82,3.45
18.84,6.82
18.86,5.80
18.88,5.73
18.90,5.90
18.92,2.78
18.94,3.30
18.96,5.20
18.98,5.22
19.00,5.86
19.02,5.16
19.04,4.72
19.06,6.89
19.08,5.52
19.10,6.12
19.12,6.79
19.14,6.90
19.16,5.48
19.18,6.09
19.20,5.40
19.22,6.61
19.24,8.42
19.26,3.43
19.28,3.87
19.30,7.38
19.32,5.28
19.34,4.36
19.36,3.96
19.38,6.41
19.40,5.84
19.42,8.01
19.44,4.86
19.46,6.35
19.48,7.48
19.50,2.85
19.52,3.42
19.54,5.41
19.56,4.14
19.58,4.37
19.60,4.01
19.62,4.78
19.64,3.64
19.66,3.08
19.68,5.58
19.70,5.19
19.72,6.47
19.74,5.78
19.76,5.64
19.78,6.13
19.80,3.63
19.82,4.25
19.84,5.41
19.86,6.40
19.88,5.97
19.90,4.68
19.92,4.72
19.94,5.37
19.96,3.27
19.98,6.27
20.00,6.16
20.02,6.39
20.04,6.49
20.06,6.50
20.08,2.17
20.10,5.34
20.12,2.86
20.14,3.57
20.16,4.80
20.18,6.77
20.20,5.50
20.22,5.35
20.24,7.68
20.26,5.36
20.28,3.58
20.30,2.91
20.32,3.69
20.34,5.17
20.36,2.69
20.38,5.66
20.40,5.46
20.42,3.92
20.44,5.16
20.46,5.77
20.48,4.05
20.50,6.10
20.52,3.92
20.54,5.88
20.56,7.19
20.58,5.48
20.60,3.09
20.62,5.13
20.64,5.12
20.66,3.71
20.68,3.11
20.70,4.43
20.72,6.30
20.74,6.23
20.76,6.80
20.78,4.93
20.80,7.95
20.82,3.73
20.84,5.66
20.86,4.64
20.88,7.24
20.90,5.05
20.92,3.45
20.94,5.36
20.96,3.32
20.98,3.69
21.00,6.39
21.02,4.97
21.04,6.28
21.06,3.69
21.08,6.95
21.10,4.74
21.12,2.06
21.14,3.66
21.16,2.90
21.18,2.80
21.20,5.77
21.22,5.55
21.24,5.89
21.26,3.89
21.28,5.80
21.30,2.80
21.32,4.28
21.34,4.76
21.36,4.14
21.38,5.15
21.40,4.97
21.42,5.71
21.44,5.46
21.46,6.43
21.48,4.28
21.50,5.98
21.52,5.42
21.54,5.36
21.56,5.20
21.58,1.77
21.60,7.88
21.62,3.63
21.64,3.81
21.66,4.52
21.68,3.03
21.70,7.62
21.72,4.07
21.74,3.97
21.76,3.76
21.78,5.66
21.80,7.09
21.82,5.41
21.84,3.84
21.86,6.98
21.88,5.43
21.90,3.92
21.92,4.89
21.94,5.20
21.96,5.36
21.98,5.00
22.00,5.04
22.02,7.79
22.04,9.25
22.06,5.26
22.08,3.62
22.10,3.42
22.12,6.22
22.14,2.56
22.16,4.73
22.18,5.59
22.20,5.27
22.22,4.39
22.24,7.76
22.26,6.19
22.28,4.29
22.30,6.18
22.32,4.72
22.34,4.23
22.36,4.39
22.38,6.78
22.40,4.17
22.42,4.91
22.44,6.56
22.46,5.51
22.48,5.45
22.50,4.15
22.52,8.75
22.54,6.63
22.56,2.09
22.58,7.96
22.60,4.59
22.62,5.20
22.64,7.25
22.66,11.60
22.68,11.19
22.70,14.38
22.72,14.68
22.74,22.66
22.76,25.31
22.78,29.25
22.80,37.93
22.82,45.12
22.84,51.97
22.86,61.52
22.88,68.21
22.90,76.99
22.92,81.36
22.94,87.27
22.96,92.70
22.98,95.82
23.00,94.50
23.02,96.92
23.04,91.57
23.06,87.11
23.08,82.11
23.10,73.45
23.12,64.86
23.14,62.67
23.16,53.44
23.18,42.99
23.20,37.65
23.22,32.12
23.24,24.97
23.26,23.19
23.28,16.44
23.30,15.55
23.32,10.66
23.34,10.48
23.36,10.62
23.38,7.97
23.40,5.79
23.42,6.33
23.44,6.73
23.46,4.77
23.48,4.66
23.50,7.80
23.52,7.19
23.54,4.06
23.56,3.05
23.58,3.09
23.60,3.34
23.62,4.58
23.64,4.89
23.66,2.93
23.68,5.23
23.70,0.65
23.72,5.21
23.74,7.41
23.76,3.18
23.78,0.68
23.80,5.25
23.82,6.05
23.84,4.39
23.86,5.34
23.88,6.94
23.90,7.53
23.92,5.90
23.94,3.15
23.96,5.25
23.98,3.50
24.00,4.98
24.02,4.64
24.04,4.14
24.06,7.30
24.08,4.66
24.10,2.78
24.12,5.57
24.14,6.03
24.16,5.08
24.18,3.84
24.20,4.35
24.22,4.12
24.24,4.24
24.26,3.95
24.28,4.67
24.30,2.97
24.32,5.37
24.34,3.83
24.36,6.32
24.38,5.57
24.40,7.26
24.42,2.95
24.44,7.12
24.46,4.83
24.48,5.93
24.50,6.33
24.52,6.44
24.54,5.09
24.56,5.68
24.58,4.86
24.60,6.09
24.62,3.66
24.64,5.61
24.66,7.31
24.68,8.01
24.70,6.60
24.72,7.19
24.74,5.79
24.76,6.58
24.78,7.92
24.80,4.92
24.82,2.62
24.84,4.74
24.86,5.28
24.88,3.76
24.90,3.20
24.92,4.26
24.94,3.15
24.96,6.37
24.98,7.56
25.00,6.01
25.02,2.91
25.04,5.31
25.06,3.71
25.08,5.42
25.10,3.77
25.12,6.47
25.14,6.05
25.16,4.52
25.18,5.76
25.20,5.09
25.22,7.59
25.24,2.15
25.26,5.62
25.28,6.86
25.30,4.45
25.32,4.25
25.34,5.27
25.36,3.62
25.38,4.20
25.40,3.46
25.42,4.73
25.44,1.86
25.46,4.10
25.48,5.84
25.50,4.43
25.52,4.38
25.54,6.35
25.56,7.37
25.58,3.89
25.60,6.81
25.62,2.37
25.64,3.73
25.66,5.80
25.68,5.39
25.70,5.18
25.72,6.30
25.74,4.70
25.76,6.14
25.78,4.27
25.80,4.06
25.82,2.19
25.84,6.01
25.86,3.70
25.88,6.51
25.90,6.51
25.92,4.67
25.94,5.13
25.96,5.30
25.98,4.69
26.00,2.81
26.02,7.17
26.04,4.15
26.06,5.79
26.08,5.44
26.10,5.43
26.12,5.33
26.14,6.37
26.16,3.69
26.18,6.49
26.20,5.25
26.22,5.06
26.24,4.38
26.26,4.93
26.28,5.87
26.30,3.24
26.32,2.42
26.34,4.59
26.36,6.05
26.38,4.55
26.40,7.06
26.42,6.94
26.44,7.10
26.46,7.18
26.48,5.40
26.50,5.85
26.52,3.98
26.54,0.97
26.56,5.61
26.58,3.84
26.60,4.70
26.62,1.27
26.64,6.35
26.66,4.70
26.68,4.11
26.70,3.27
26.72,3.78
26.74,3.73
26.76,3.54
26.78,2.88
26.80,4.69
26.82,4.49
26.84,6.29
26.86,2.37
26.88,4.33
26.90,3.66
26.92,5.51
26.94,4.92
26.96,6.27
26.98,7.76
27.00,5.00
27.02,5.79
27.04,3.88
27.06,4.81
27.08,5.04
27.10,8.21
27.12,3.29
27.14,4.80
27.16,5.03
27.18,3.87
27.20,5.53
27.22,5.02
27.24,5.18
27.26,3.92
27.28,6.10
27.30,3.60
27.32,4.44
27.34,6.27
27.36,7.10
27.38,3.87
27.40,5.93
27.42,4.87
27.44,6.57
27.46,5.17
27.48,7.55
27.50,7.30
27.52,3.54
27.54,4.51
27.56,3.87
27.58,4.88
27.60,2.27
27.62,2.49
27.64,6.53
27.66,5.51
27.68,6.13
27.70,3.64
27.72,3.42
27.74,4.71
27.76,7.07
27.78,5.11
27.80,5.27
27.82,6.77
27.84,5.57
27.86,5.27
27.88,5.64
27.90,4.71
27.92,7.36
27.94,4.84
27.96,3.92
27.98,6.02
28.00,6.42
28.02,4.29
28.04,6.09
28.06,6.61
28.08,0.00
28.10,2.41
28.12,5.60
28.14,3.60
28.16,7.53
28.18,5.49
28.20,4.85
28.22,5.09
28.24,4.43
28.26,4.04
28.28,5.18
28.30,6.50
28.32,2.68
28.34,5.36
28.36,4.33
28.38,5.13
28.40,3.87
28.42,5.22
28.44,3.39
28.46,4.97
28.48,4.61
28.50,2.50
28.52,5.63
28.54,0.78
28.56,4.44
28.58,2.76
28.60,5.39
28.62,4.50
28.64,6.23
28.66,4.70
28.68,4.68
28.70,6.68
28.72,4.30
28.74,4.96
28.76,7.14
28.78,5.99
28.80,7.98
28.82,5.70
28.84,4.22
28.86,6.65
28.88,6.47
28.90,4.76
28.92,6.15
28.94,5.52
28.96,6.95
28.98,7.23
29.00,8.67
29.02,14.17
29.04,16.78
29.06,21.05
29.08,33.85
29.10,48.44
29.12,71.13
29.14,100.90
29.16,140.75
29.18,188.54
29.20,251.75
29.22,331.43
29.24,415.66
29.26,512.84
29.28,611.72
29.30,710.14
29.32,802.40
29.34,887.38
29.36,950.79
29.38,992.85
29.40,1003.70
29.42,990.34
29.44,947.30
29.46,885.70
29.48,805.31
29.50,710.42
29.52,609.61
29.54,512.96
29.56,418.11
29.58,327.73
29.60,254.25
29.62,190.44
29.64,142.43
29.66,100.89
29.68,71.56
29.70,47.49
29.72,35.53
29.74,22.60
29.76,18.89
29.78,13.28
29.80,7.89
29.82,7.98
29.84,6.57
29.86,5.31
29.88,6.46
29.90,5.13
29.92,5.13
29.94,4.09
29.96,3.90
29.98,5.12
30.00,5.27
30.02,6.62
30.04,2.97
30.06,5.17
30.08,7.39
30.10,3.98
30.12,3.43
30.14,3.61
30.16,6.19
30.18,3.10
30.20,5.03
30.22,4.00
30.24,4.14
30.26,4.54
30.28,4.44
30.30,4.45
30.32,4.92
30.34,5.40
30.36,4.32
30.38,5.71
30.40,4.28
30.42,4.32
30.44,5.06
30.46,2.43
30.48,3.77
30.50,4.00
30.52,3.47
30.54,4.65
30.56,3.90
30.58,3.63
30.60,6.52
30.62,8.12
30.64,6.49
30.66,5.45
30.68,6.69
30.70,5.47
30.72,4.61
30.74,5.17
30.76,4.50
30.78,1.69
30.80,3.74
30.82,3.76
30.84,5.74
30.86,4.30
30.88,2.33
30.90,5.01
30.92,5.51
30.94,6.29
30.96,5.76
30.98,8.92
31.00,4.21
31.02,7.73
31.04,7.48
31.06,5.62
31.08,7.01
31.10,6.90
31.12,8.87
31.14,9.68
31.16,11.23
31.18,13.72
31.20,14.26
31.22,19.81
31.24,21.93
31.26,22.15
31.28,27.07
31.30,26.67
31.32,27.80
31.34,32.84
31.36,34.62
31.38,33.59
31.40,35.79
31.42,37.64
31.44,38.32
31.46,31.06
31.48,30.97
31.50,26.40
31.52,30.02
31.54,22.54
31.56,21.90
31.58,18.27
31.60,14.23
31.62,13.42
31.64,9.87
31.66,9.39
31.68,8.66
31.70,8.36
31.72,3.79
31.74,6.47
31.76,9.93
31.78,4.33
31.80,6.00
31.82,4.70
31.84,0.98
31.86,3.64
31.88,4.06
31.90,6.32
31.92,4.98
31.94,4.69
31.96,6.02
31.98,5.20
32.00,4.76
32.02,6.00
32.04,2.94
32.06,4.69
32.08,6.88
32.10,1.79
32.12,3.81
32.14,5.23
32.16,5.34
32.18,4.50
32.20,5.64
32.22,3.67
32.24,6.47
32.26,5.29
32.28,7.72
32.30,6.27
32.32,5.83
32.34,7.12
32.36,3.80
32.38,4.56
32.40,2.37
32.42,6.31
32.44,7.48
32.46,4.27
32.48,3.17
32.50,6.69
32.52,3.89
32.54,4.24
32.56,7.31
32.58,4.46
32.60,4.72
32.62,7.42
32.64,5.89
32.66,3.40
32.68,7.26
32.70,2.39
32.72,6.51
32.74,5.74
32.76,4.21
32.78,3.83
32.80,3.33
32.82,7.59
32.84,5.19
32.86,4.05
32.88,5.86
32.90,6.81
32.92,5.48
32.94,6.05
32.96,6.43
32.98,5.09
33.00,5.47
33.02,4.83
33.04,3.51
33.06,3.10
33.08,5.68
33.10,3.94
33.12,4.97
33.14,4.63
33.16,6.46
33.18,5.42
33.20,5.46
33.22,4.57
33.24,4.79
33.26,4.49
33.28,5.37
33.30,2.41
33.32,4.97
33.34,5.55
33.36,5.59
33.38,3.38
33.40,4.37
33.42,4.43
33.44,4.19
33.46,3.17
33.48,3.37
33.50,5.01
33.52,5.58
33.54,5.22
33.56,3.69
33.58,5.58
33.60,4.70
33.62,4.26
33.64,3.61
33.66,4.24
33.68,6.08
33.70,4.72
33.72,4.82
33.74,3.50
33.76,9.19
33.78,1.60
33.80,1.96
33.82,4.21
33.84,5.30
33.86,7.66
33.88,5.77
33.90,5.45
33.92,6.38
33.94,5.14
33.96,2.07
33.98,5.38
34.00,5.33
34.02,8.25
34.04,3.92
34.06,6.89
34.08,2.96
34.10,7.30
34.12,5.20
34.14,6.26
34.16,6.06
34.18,6.02
34.20,5.15
34.22,4.02
34.24,4.76
34.26,3.85
34.28,4.83
34.30,2.59
34.32,5.26
34.34,6.47
34.36,6.80
34.38,6.97
34.40,5.23
34.42,4.77
34.44,4.62
34.46,5.59
34.48,6.08
34.50,5.51
34.52,2.98
34.54,7.07
34.56,5.72
34.58,6.49
34.60,5.08
34.62,4.61
34.64,7.91
34.66,3.40
34.68,2.47
34.70,7.99
34.72,5.36
34.74,4.36
34.76,4.12
34.78,1.99
34.80,7.80
34.82,6.06
34.84,5.76
34.86,6.24
34.88,3.63
34.90,5.69
34.92,6.63
34.94,1.69
34.96,5.89
34.98,6.12
35.00,5.15
35.02,3.67
35.04,4.75
35.06,4.31
35.08,5.54
35.10,4.20
35.12,6.15
35.14,4.22
35.16,4.22
35.18,6.75
35.20,4.76
35.22,5.80
35.24,3.05
35.26,7.28
35.28,2.82
35.30,5.15
35.32,4.66
35.34,3.86
35.36,4.59
35.38,6.85
35.40,7.61
35.42,4.65
35.44,4.47
35.46,2.19
35.48,7.59
35.50,3.43
35.52,3.69
35.54,5.25
35.56,6.26
35.58,7.56
35.60,8.70
35.62,6.83
35.64,5.36
35.66,5.65
35.68,7.15
35.70,9.69
35.72,11.35
35.74,12.69
35.76,11.25
35.78,16.09
35.80,22.50
35.82,23.37
35.84,28.32
35.86,37.09
35.88,37.54
35.90,44.33
35.92,49.13
35.94,51.09
35.96,52.04
35.98,50.99
36.00,53.71
36.02,55.38
36.04,53.58
36.06,51.71
36.08,44.72
36.10,42.49
36.12,34.58
36.14,31.67
36.16,29.24
36.18,20.90
36.20,21.54
36.22,19.69
36.24,11.94
36.26,11.38
36.28,12.49
36.30,9.24
36.32,8.01
36.34,6.80
36.36,4.02
36.38,5.49
36.40,7.37
36.42,5.40
36.44,6.25
36.46,4.55
36.48,3.75
36.50,4.38
36.52,3.44
36.54,2.97
36.56,4.97
36.58,4.66
36.60,3.59
36.62,6.04
36.64,3.60
36.66,5.64
36.68,5.75
36.70,7.50
36.72,5.51
36.74,6.18
36.76,5.11
36.78,2.89
36.80,6.28
36.82,7.52
36.84,4.81
36.86,8.14
36.88,6.39
36.90,8.00
36.92,4.73
36.94,3.67
36.96,5.08
36.98,3.91
37.00,5.30
37.02,4.64
37.04,5.25
37.06,4.86
37.08,3.54
37.10,4.21
37.12,6.90
37.14,4.90
37.16,2.99
37.18,1.97
37.20,4.52
37.22,5.42
37.24,3.23
37.26,2.32
37.28,5.84
37.30,9.79
37.32,6.31
37.34,3.51
37.36,4.82
37.38,4.82
37.40,3.09
37.42,2.89
37.44,4.79
37.46,6.19
37.48,5.38
37.50,3.98
37.52,5.76
37.54,5.78
37.56,3.53
37.58,3.17
37.60,5.97
37.62,6.70
37.64,5.61
37.66,6.77
37.68,7.20
37.70,2.71
37.72,5.72
37.74,6.97
37.76,6.70
37.78,7.14
37.80,4.12
37.82,6.02
37.84,6.16
37.86,4.10
37.88,5.29
37.90,3.00
37.92,3.73
37.94,5.49
37.96,6.58
37.98,5.00
38.00,7.30
38.02,7.23
38.04,3.53
38.06,4.85
38.08,4.24
38.10,6.23
38.12,6.08
38.14,3.81
38.16,6.39
38.18,3.02
38.20,6.77
38.22,1.34
38.24,4.73
38.26,3.94
38.28,6.01
38.30,5.38
38.32,1.71
38.34,2.98
38.36,4.12
38.38,6.78
38.40,7.45
38.42,6.02
38.44,7.13
38.46,3.87
38.48,5.62
38.50,5.19
38.52,3.38
38.54,4.47
38.56,4.46
38.58,5.68
38.60,5.74
38.62,4.18
38.64,4.20
38.66,2.15
38.68,5.76
38.70,4.84
38.72,4.96
38.74,5.82
38.76,4.26
38.78,3.56
38.80,4.10
38.82,4.49
38.84,5.33
38.86,4.10
38.88,4.36
38.90,3.05
38.92,4.47
38.94,2.51
38.96,4.24
38.98,6.19
39.00,5.87
39.02,5.74
39.04,6.18
39.06,8.64
39.08,6.62
39.10,10.55
39.12,10.81
39.14,14.89
39.16,17.51
39.18,20.90
39.20,26.90
39.22,30.87
39.24,36.00
39.26,43.47
39.28,48.83
39.30,57.29
39.32,62.01
39.34,66.03
39.36,72.31
39.38,74.78
39.40,74.72
39.42,73.74
39.44,73.13
39.46,67.52
39.48,63.31
39.50,55.37
39.52,51.55
39.54,43.98
39.56,38.60
39.58,31.43
39.60,25.31
39.62,19.92
39.64,17.43
39.66,13.78
39.68,9.94
39.70,11.76
39.72,9.92
39.74,4.24
39.76,3.30
39.78,3.70
39.80,5.85
39.82,9.40
39.84,3.46
39.86,4.66
39.88,7.08
39.90,4.30
39.92,6.70
39.94,6.41
39.96,4.96
39.98,6.33
40.00,6.41
40.02,2.90
40.04,4.74
40.06,4.06
40.08,5.04
40.10,3.18
40.12,3.51
40.14,5.08
40.16,4.99
40.18,7.08
40.20,5.32
40.22,7.15
40.24,6.97
40.26,6.71
40.28,0.00
40.30,3.84
40.32,5.70
40.34,3.02
40.36,4.21
40.38,6.00
40.40,5.07
40.42,4.48
40.44,7.60
40.46,4.37
40.48,6.67
40.50,4.93
40.52,5.15
40.54,4.46
40.56,3.74
40.58,4.67
40.60,2.95
40.62,5.92
40.64,5.17
40.66,4.34
40.68,6.19
40.70,3.44
40.72,2.05
40.74,5.63
40.76,2.93
40.78,2.91
40.80,5.24
40.82,6.45
40.84,3.83
40.86,3.66
40.88,7.26
40.90,2.88
40.92,6.27
40.94,5.64
40.96,3.91
40.98,4.80
41.00,3.71
41.02,4.00
41.04,4.77
41.06,3.94
41.08,2.53
41.10,6.07
41.12,4.09
41.14,6.19
41.16,4.77
41.18,9.22
41.20,5.84
41.22,2.98
41.24,2.94
41.26,3.66
41.28,4.36
41.30,2.52
41.32,3.31
41.34,5.02
41.36,2.66
41.38,4.85
41.40,5.35
41.42,3.49
41.44,5.91
41.46,5.13
41.48,6.64
41.50,6.00
41.52,4.68
41.54,4.76
41.56,5.69
41.58,5.57
41.60,2.46
41.62,6.39
41.64,4.16
41.66,6.70
41.68,5.27
41.70,4.03
41.72,5.00
41.74,7.16
41.76,3.88
41.78,2.44
41.80,4.62
41.82,6.89
41.84,7.38
41.86,6.55
41.88,1.82
41.90,4.64
41.92,4.28
41.94,4.74
41.96,3.36
41.98,4.59
42.00,3.22
42.02,8.48
42.04,5.09
42.06,4.22
42.08,3.14
42.10,6.44
42.12,5.88
42.14,6.74
42.16,5.52
42.18,4.30
42.20,3.91
42.22,3.85
42.24,4.39
42.26,6.03
42.28,4.17
42.30,5.43
42.32,6.13
42.34,4.32
42.36,6.47
42.38,5.63
42.40,5.57
42.42,4.96
42.44,5.26
42.46,3.71
42.48,3.75
42.50,5.38
42.52,6.35
42.54,4.67
42.56,5.79
42.58,4.71
42.60,3.92
42.62,5.17
42.64,5.83
42.66,4.36
42.68,4.72
42.70,5.19
42.72,6.66
42.74,4.80
42.76,8.29
42.78,9.43
42.80,10.84
42.82,11.60
42.84,15.22
42.86,16.00
42.88,19.86
42.90,26.02
42.92,27.07
42.94,32.66
42.96,37.49
42.98,44.07
43.00,45.46
43.02,50.83
43.04,53.55
43.06,60.28
43.08,59.03
43.10,59.22
43.12,59.61
43.14,59.10
43.16,52.06
43.18,50.09
43.20,47.94
43.22,42.15
43.24,36.20
43.26,32.56
43.28,29.30
43.30,25.31
43.32,23.94
43.34,15.19
43.36,12.58
43.38,10.63
43.40,12.00
43.42,7.69
43.44,5.60
43.46,8.23
43.48,5.27
43.50,7.60
43.52,5.93
43.54,4.40
43.56,6.59
43.58,6.38
43.60,7.35
43.62,4.44
43.64,4.55
43.66,7.23
43.68,6.68
43.70,5.39
43.72,3.73
43.74,3.43
43.76,2.85
43.78,3.51
43.80,4.69
43.82,3.21
43.84,6.08
43.86,1.13
43.88,3.80
43.90,3.98
43.92,5.91
43.94,5.78
43.96,3.15
43.98,5.34
44.00,3.43
44.02,5.44
44.04,3.17
44.06,5.19
44.08,7.20
44.10,8.06
44.12,6.63
44.14,3.45
44.16,4.22
44.18,3.60
44.20,4.08
44.22,2.38
44.24,4.05
44.26,6.68
44.28,8.35
44.30,5.65
44.32,5.30
44.34,6.01
44.36,2.63
44.38,3.73
44.40,6.21
44.42,4.65
44.44,4.45
44.46,6.28
44.48,2.14
44.50,6.75
44.52,3.78
44.54,5.85
44.56,5.00
44.58,6.09
44.60,6.49
44.62,3.48
44.64,6.26
44.66,5.76
44.68,7.14
44.70,4.21
44.72,6.78
44.74,6.09
44.76,4.34
44.78,6.50
44.80,4.44
44.82,6.37
44.84,4.85
44.86,5.16
44.88,5.10
44.90,6.52
44.92,4.87
