2Theta,Intensity
16.00,6.55
16.02,3.93
16.04,6.00
16.06,3.29
16.08,5.47
16.10,5.63
16.12,3.85
16.14,8.00
16.16,5.85
16.18,2.15
16.20,5.83
16.22,4.39
16.24,5.00
16.26,5.70
16.28,5.59
16.30,1.94
16.32,3.26
16.34,6.16
16.36,6.95
16.38,7.85
16.40,7.70
16.42,1.92
16.44,6.15
16.46,2.13
16.48,7.42
16.50,5.38
16.52,3.29
16.54,8.01
16.56,5.97
16.58,2.16
16.60,5.44
16.62,3.90
16.64,5.17
16.66,4.30
16.68,7.06
16.70,2.87
16.72,5.48
16.74,7.72
16.76,3.76
16.78,5.32
16.80,5.30
16.82,3.97
16.84,5.97
16.86,5.15
16.88,3.58
16.90,7.64
16.92,6.19
16.94,4.75
16.96,4.04
16.98,3.82
17.00,6.85
17.02,4.78
17.04,5.69
17.06,4.72
17.08,5.92
17.10,4.83
17.12,6.15
17.14,4.73
17.16,6.24
17.18,6.01
17.20,4.83
17.22,3.71
17.24,3.59
17.26,3.89
17.28,3.52
17.30,6.30
17.32,4.93
17.34,7.36
17.36,8.42
17.38,5.04
17.40,2.68
17.42,4.43
17.44,4.89
17.46,2.77
17.48,4.62
17.50,5.43
17.52,4.31
17.54,3.85
17.56,3.86
17.58,7.68
17.60,4.76
17.62,3.76
17.64,4.44
17.66,6.43
17.68,3.97
17.70,5.72
17.72,6.09
17.74,6.12
17.76,7.10
17.78,4.17
17.80,6.70
17.82,3.81
17.84,4.41
17.86,6.79
17.88,6.23
17.90,5.00
17.92,3.21
17.94,5.84
17.96,4.05
17.98,3.61
18.00,4.03
18.02,5.37
18.04,1.82
18.06,5.54
18.08,5.26
18.10,4.12
18.12,6.56
18.14,5.92
18.16,4.09
18.18,3.99
18.20,6.04
18.22,2.73
18.24,4.50
18.26,4.05
18.28,5.10
18.30,5.32
18.32,5.06
18.34,6.70
18.36,5.34
18.38,4.53
18.40,3.18
18.42,6.08
18.44,5.79
18.46,7.18
18.48,3.88
18.50,5.04
18.52,4.91
18.54,4.87
18.56,5.02
18.58,2.43
18.60,6.24
18.62,5.98
18.64,6.70
18.66,8.37
18.68,4.52
18.70,4.95
18.72,5.01
18.74,7.91
18.76,2.40
18.78,5.73
18.80,2.79
18.82,1.13
18.84,1.97
18.86,2.93
18.88,6.60
18.90,3.70
18.92,4.66
18.94,3.25
18.96,5.92
18.98,3.35
19.00,6.98
19.02,3.51
19.04,3.85
19.06,5.18
19.08,5.04
19.10,7.14
19.12,5.18
19.14,3.19
19.16,4.16
19.18,4.14
19.20,6.09
19.22,5.58
19.24,4.82
19.26,6.30
19.28,4.21
19.30,4.80
19.32,5.27
19.34,7.29
19.36,4.85
19.38,4.47
19.40,3.43
19.42,6.03
19.44,4.12
19.46,5.52
19.48,2.15
19.50,6.56
19.52,3.00
19.54,3.83
19.56,6.59
19.58,3.00
19.60,4.88
19.62,5.11
19.64,3.50
19.66,7.01
19.68,7.25
19.70,2.04
19.72,2.83
19.74,6.21
19.76,3.05
19.78,4.42
19.80,5.19
19.82,6.04
19.84,4.67
19.86,5.14
19.88,3.83
19.90,6.94
19.92,4.26
19.94,5.51
19.96,4.23
19.98,5.16
20.00,4.75
20.02,4.76
20.04,3.48
20.06,6.20
20.08,7.12
20.10,5.37
20.12,6.10
20.14,6.26
20.16,6.40
20.18,5.47
20.20,5.35
20.22,6.34
20.24,5.18
20.26,3.66
20.28,5.23
20.30,2.48
20.32,5.47
20.34,6.35
20.36,7.94
20.38,6.81
20.40,8.68
20.42,8.23
20.44,7.96
20.46,9.01
20.48,11.76
20.50,13.78
20.52,19.96
20.54,22.50
20.56,28.10
20.58,32.40
20.60,39.46
20.62,45.53
20.64,49.32
20.66,56.34
20.68,62.29
20.70,66.63
20.72,75.41
20.74,80.63
20.76,82.20
20.78,83.55
20.80,86.64
20.82,80.77
20.84,82.47
20.86,79.06
20.88,73.54
20.90,71.15
20.92,64.55
20.94,56.36
20.96,50.16
20.98,43.36
21.00,37.12
21.02,30.33
21.04,29.31
21.06,24.35
21.08,20.21
21.10,14.19
21.12,16.34
21.14,14.10
21.16,9.77
21.18,6.88
21.20,5.99
21.22,7.22
21.24,4.71
21.26,5.67
21.28,7.11
21.30,3.05
21.32,8.21
21.34,7.47
21.36,3.22
21.38,2.92
21.40,4.60
21.42,3.47
21.44,4.61
21.46,1.13
21.48,4.66
21.50,7.71
21.52,3.33
21.54,4.59
21.56,2.77
21.58,5.96
21.60,4.66
21.62,7.91
21.64,5.31
21.66,4.44
21.68,5.83
21.70,4.24
21.72,2.99
21.74,5.45
21.76,4.74
21.78,5.25
21.80,5.56
21.82,4.23
21.84,5.63
21.86,7.61
21.88,3.34
21.90,7.61
21.92,4.64
21.94,3.85
21.96,8.64
21.98,5.23
22.00,7.06
22.02,6.23
22.04,2.48
22.06,5.18
22.08,4.21
22.10,2.99
22.12,2.34
22.14,5.15
22.16,5.89
22.18,5.59
22.20,4.54
22.22,3.80
22.24,3.52
22.26,4.17
22.28,3.45
22.30,4.70
22.32,4.97
22.34,3.66
22.36,4.65
22.38,3.86
22.40,4.99
22.42,5.76
22.44,5.27
22.46,5.71
22.48,2.52
22.50,4.43
22.52,5.42
22.54,5.96
22.56,2.60
22.58,5.24
22.60,6.81
22.62,4.73
22.64,4.86
22.66,5.68
22.68,5.37
22.70,6.01
22.72,5.11
22.74,5.23
22.76,3.83
22.78,4.74
22.80,6.88
22.82,4.69
22.84,4.75
22.86,4.26
22.88,6.18
22.90,3.72
22.92,6.37
22.94,3.59
22.96,3.41
22.98,5.31
23.00,5.20
23.02,5.45
23.04,6.59
23.06,4.38
23.08,5.66
23.10,3.64
23.12,6.89
23.14,5.95
23.16,5.80
23.18,5.28
23.20,3.82
23.22,4.51
23.24,5.75
23.26,4.97
23.28,5.19
23.30,2.96
23.32,5.27
23.34,3.96
23.36,3.37
23.38,4.77
23.40,2.22
23.42,6.05
23.44,6.28
23.46,4.92
23.48,3.51
23.50,3.58
23.52,4.77
23.54,1.36
23.56,5.27
23.58,6.00
23.60,4.53
23.62,4.26
23.64,5.27
23.66,5.53
23.68,6.64
23.70,5.03
23.72,3.97
23.74,4.31
23.76,5.27
23.78,7.33
23.80,4.52
23.82,3.42
23.84,3.69
23.86,1.86
23.88,5.49
23.90,2.96
23.92,3.15
23.94,2.04
23.96,3.32
23.98,5.85
24.00,3.03
24.02,2.38
24.04,5.27
24.06,4.49
24.08,5.65
24.10,6.11
24.12,4.99
24.14,3.05
24.16,4.81
24.18,5.75
24.20,4.13
24.22,2.84
24.24,6.65
24.26,4.38
24.28,4.39
24.30,5.02
24.32,6.55
24.34,5.40
24.36,4.50
24.38,6.02
24.40,8.22
24.42,7.08
24.44,6.01
24.46,3.32
24.48,10.63
24.50,3.20
24.52,4.44
24.54,3.95
24.56,7.44
24.58,5.63
24.60,2.86
24.62,5.40
24.64,5.82
24.66,4.52
24.68,3.17
24.70,3.91
24.72,4.34
24.74,5.03
24.76,4.22
24.78,6.10
24.80,3.58
24.82,2.40
24.84,3.89
24.86,7.02
24.88,4.14
24.90,8.51
24.92,5.74
24.94,3.25
24.96,3.75
24.98,5.37
25.00,3.23
25.02,8.56
25.04,3.51
25.06,6.02
25.08,7.19
25.10,4.84
25.12,3.51
25.14,4.59
25.16,5.54
25.18,6.31
25.20,5.09
25.22,2.90
25.24,5.06
25.26,3.99
25.28,1.73
25.30,3.95
25.32,2.85
25.34,5.88
25.36,7.92
25.38,7.79
25.40,4.14
25.42,4.30
25.44,6.03
25.46,6.59
25.48,4.37
25.50,4.79
25.52,8.31
25.54,4.84
25.56,4.27
25.58,5.18
25.60,5.87
25.62,3.47
25.64,4.63
25.66,3.25
25.68,4.58
25.70,7.82
25.72,6.11
25.74,4.86
25.76,3.60
25.78,4.53
25.80,6.58
25.82,4.16
25.84,7.18
25.86,2.94
25.88,4.56
25.90,7.61
25.92,1.99
25.94,6.78
25.96,2.22
25.98,4.87
26.00,4.74
26.02,6.24
26.04,0.29
26.06,2.16
26.08,4.23
26.10,5.23
26.12,4.00
26.14,5.31
26.16,4.42
26.18,6.58
26.20,7.59
26.22,12.00
26.24,16.97
26.26,25.19
26.28,32.55
26.30,48.42
26.32,70.73
26.34,100.10
26.36,140.12
26.38,188.74
26.40,254.66
26.42,327.96
26.44,414.27
26.46,508.45
26.48,612.67
26.50,710.73
26.52,806.66
26.54,887.02
26.56,947.46
26.58,988.60
26.60,1005.14
26.62,989.07
26.64,948.38
26.66,886.35
26.68,804.67
26.70,709.42
26.72,610.43
26.74,510.11
26.76,411.82
26.78,330.08
26.80,252.89
26.82,193.04
26.84,138.47
26.86,98.17
26.88,72.44
26.90,46.52
26.92,32.58
26.94,23.94
26.96,15.60
26.98,9.16
27.00,9.14
27.02,6.89
27.04,8.13
27.06,6.53
27.08,9.89
27.10,2.70
27.12,5.05
27.14,3.44
27.16,6.75
27.18,6.24
27.20,6.13
27.22,3.84
27.24,3.88
27.26,1.96
27.28,7.56
27.30,5.76
27.32,4.61
27.34,6.40
27.36,6.13
27.38,6.46
27.40,2.56
27.42,3.93
27.44,5.29
27.46,5.53
27.48,6.44
27.50,3.49
27.52,5.19
27.54,8.31
27.56,6.04
27.58,6.31
27.60,4.97
27.62,6.15
27.64,7.71
27.66,5.16
27.68,6.84
27.70,3.69
27.72,5.89
27.74,6.36
27.76,3.87
27.78,6.65
27.80,3.99
27.82,3.79
27.84,5.00
27.86,7.90
27.88,5.46
27.90,6.40
27.92,3.90
27.94,5.12
27.96,3.24
27.98,4.14
28.00,6.25
28.02,4.94
28.04,7.18
28.06,4.70
28.08,4.70
28.10,6.92
28.12,4.03
28.14,2.72
28.16,6.95
28.18,5.62
28.20,1.75
28.22,5.07
28.24,4.39
28.26,7.62
28.28,3.91
28.30,4.13
28.32,3.63
28.34,3.42
28.36,3.95
28.38,2.85
28.40,3.45
28.42,2.59
28.44,2.75
28.46,2.66
28.48,4.22
28.50,3.97
28.52,3.16
28.54,5.72
28.56,4.93
28.58,4.35
28.60,4.30
28.62,7.39
28.64,5.36
28.66,5.71
28.68,1.12
28.70,4.02
28.72,1.74
28.74,4.36
28.76,5.56
28.78,3.99
28.80,5.78
28.82,3.47
28.84,5.86
28.86,2.67
28.88,4.61
28.90,5.63
28.92,5.80
28.94,4.81
28.96,7.91
28.98,4.38
29.00,4.32
29.02,0.86
29.04,7.65
29.06,4.45
29.08,3.24
29.10,6.98
29.12,6.85
29.14,5.16
29.16,2.85
29.18,5.63
29.20,4.07
29.22,3.24
29.24,6.57
29.26,1.80
29.28,5.85
29.30,5.69
29.32,8.08
29.34,5.49
29.36,1.91
29.38,3.75
29.40,5.10
29.42,5.53
29.44,6.47
29.46,2.06
29.48,4.51
29.50,6.45
29.52,7.32
29.54,7.79
29.56,4.41
29.58,6.65
29.60,7.57
29.62,6.80
29.64,6.09
29.66,6.24
29.68,3.82
29.70,2.83
29.72,6.47
29.74,4.48
29.76,4.96
29.78,4.13
29.80,4.41
29.82,5.35
29.84,3.47
29.86,5.10
29.88,5.37
29.90,4.88
29.92,3.88
29.94,6.18
29.96,7.81
29.98,4.10
30.00,6.85
30.02,6.33
30.04,1.02
30.06,3.86
30.08,4.05
30.10,6.17
30.12,5.28
30.14,5.71
30.16,5.95
30.18,3.65
30.20,3.88
30.22,3.17
30.24,4.74
30.26,4.82
30.28,5.26
30.30,3.91
30.32,6.36
30.34,6.38
30.36,7.32
30.38,6.07
30.40,5.28
30.42,6.01
30.44,5.91
30.46,4.02
30.48,6.93
30.50,7.58
30.52,7.97
30.54,5.05
30.56,5.49
30.58,5.62
30.60,5.00
30.62,5.93
30.64,4.82
30.66,4.71
30.68,7.64
30.70,5.25
30.72,5.10
30.74,6.32
30.76,5.23
30.78,5.44
30.80,4.90
30.82,3.17
30.84,4.95
30.86,3.29
30.88,5.32
30.90,3.23
30.92,6.38
30.94,6.12
30.96,5.42
30.98,4.85
31.00,5.62
31.02,2.05
31.04,3.35
31.06,4.78
31.08,5.52
31.10,4.88
31.12,3.49
31.14,5.20
31.16,4.32
31.18,3.40
31.20,5.49
31.22,4.69
31.24,6.79
31.26,6.00
31.28,6.10
31.30,5.48
31.32,3.73
31.34,3.60
31.36,2.79
31.38,9.32
31.40,3.38
31.42,4.69
31.44,4.46
31.46,4.58
31.48,4.12
31.50,2.20
31.52,3.50
31.54,2.91
31.56,4.81
31.58,3.97
31.60,3.97
31.62,5.32
31.64,4.13
31.66,6.40
31.68,4.42
31.70,5.34
31.72,3.01
31.74,5.99
31.76,4.39
31.78,5.61
31.80,5.50
31.82,4.74
31.84,5.33
31.86,4.42
31.88,7.02
31.90,6.40
31.92,5.72
31.94,3.23
31.96,3.35
31.98,4.00
32.00,4.63
32.02,5.67
32.04,3.66
32.06,6.77
32.08,5.01
32.10,1.98
32.12,4.29
32.14,1.12
32.16,3.87
32.18,4.18
32.20,4.08
32.22,4.51
32.24,4.41
32.26,4.11
32.28,7.25
32.30,6.82
32.32,3.29
32.34,6.88
32.36,2.57
32.38,3.78
32.40,7.29
32.42,1.64
32.44,5.86
32.46,3.12
32.48,4.78
32.50,4.73
32.52,7.55
32.54,3.78
32.56,4.90
32.58,5.94
32.60,4.62
32.62,3.77
32.64,4.91
32.66,5.14
32.68,6.33
32.70,3.59
32.72,4.33
32.74,5.48
32.76,4.75
32.78,4.72
32.80,4.97
32.82,3.96
32.84,3.80
32.86,5.66
32.88,3.36
32.90,6.75
32.92,5.33
32.94,3.09
32.96,5.42
32.98,5.25
33.00,6.14
33.02,6.74
33.04,4.45
33.06,3.94
33.08,4.09
33.10,3.53
33.12,3.88
33.14,5.43
33.16,5.02
33.18,4.26
33.20,3.89
33.22,5.52
33.24,4.25
33.26,3.44
33.28,4.77
33.30,4.60
33.32,3.39
33.34,6.24
33.36,6.27
33.38,5.06
33.40,5.20
33.42,5.79
33.44,4.95
33.46,6.34
33.48,7.48
33.50,5.12
33.52,5.66
33.54,6.31
33.56,4.49
33.58,3.31
33.60,6.36
33.62,2.65
33.64,7.68
33.66,6.31
33.68,5.28
33.70,5.08
33.72,7.63
33.74,3.58
33.76,3.26
33.78,4.10
33.80,4.61
33.82,3.49
33.84,5.23
33.86,5.20
33.88,3.78
33.90,7.40
33.92,2.91
33.94,3.08
33.96,5.56
33.98,4.69
34.00,5.63
34.02,4.07
34.04,3.45
34.06,4.03
34.08,3.97
34.10,5.79
34.12,4.28
34.14,6.14
34.16,5.88
34.18,6.56
34.20,6.35
34.22,6.18
34.24,6.15
34.26,4.22
34.28,4.61
34.30,2.25
34.32,5.44
34.34,3.99
34.36,5.60
34.38,5.79
34.40,2.97
34.42,3.48
34.44,4.48
34.46,4.22
34.48,5.25
34.50,3.27
34.52,5.07
34.54,2.47
34.56,1.77
34.58,6.07
34.60,3.04
34.62,4.16
34.64,2.87
34.66,2.89
34.68,4.40
34.70,4.38
34.72,6.47
34.74,5.67
34.76,4.61
34.78,6.14
34.80,6.67
34.82,5.62
34.84,4.39
34.86,6.53
34.88,7.65
34.90,5.99
34.92,7.66
34.94,6.39
34.96,6.27
34.98,3.36
35.00,3.33
35.02,4.93
35.04,2.50
35.06,4.11
35.08,6.30
35.10,4.00
35.12,5.80
35.14,2.97
35.16,4.26
35.18,6.54
35.20,5.31
35.22,5.44
35.24,7.56
35.26,6.95
35.28,3.68
35.30,6.98
35.32,4.08
35.34,4.97
35.36,5.02
35.38,6.61
35.40,3.31
35.42,5.68
35.44,5.79
35.46,6.22
35.48,4.68
35.50,6.51
35.52,3.93
35.54,6.72
35.56,5.53
35.58,2.90
35.60,5.61
35.62,5.27
35.64,4.47
35.66,3.90
35.68,4.64
35.70,2.84
35.72,7.54
35.74,3.31
35.76,4.01
35.78,6.72
35.80,5.88
35.82,6.08
35.84,7.28
35.86,4.53
35.88,3.43
35.90,6.27
35.92,6.20
35.94,4.52
35.96,3.12
35.98,6.90
36.00,5.94
36.02,3.07
36.04,6.40
36.06,3.23
36.08,4.93
36.10,4.37
36.12,5.72
36.14,6.34
36.16,8.01
36.18,11.89
36.20,13.81
36.22,17.74
36.24,22.88
36.26,26.27
36.28,33.78
36.30,42.55
36.32,53.57
36.34,62.61
36.36,74.27
36.38,84.90
36.40,95.85
36.42,101.62
36.44,114.20
36.46,119.77
36.48,123.67
36.50,124.21
36.52,122.95
36.54,120.08
36.56,114.14
36.58,102.05
36.60,94.59
36.62,82.53
36.64,70.77
36.66,61.86
36.68,50.52
36.70,40.76
36.72,32.51
36.74,27.25
36.76,21.23
36.78,15.16
36.80,12.11
36.82,10.53
36.84,9.53
36.86,6.02
36.88,7.41
36.90,4.82
36.92,9.74
36.94,3.98
36.96,4.04
36.98,5.42
37.00,3.72
37.02,6.28
37.04,7.72
37.06,4.43
37.08,5.26
37.10,4.23
37.12,5.00
37.14,7.15
37.16,6.34
37.18,3.64
37.20,7.32
37.22,6.74
37.24,5.73
37.26,4.01
37.28,5.10
37.30,3.81
37.32,5.70
37.34,4.53
37.36,1.65
37.38,6.39
37.40,5.29
37.42,6.62
37.44,4.80
37.46,5.28
37.48,6.67
37.50,5.58
37.52,5.43
37.54,9.82
37.56,4.75
37.58,5.25
37.60,7.60
37.62,3.79
37.64,3.44
37.66,2.85
37.68,5.80
37.70,5.94
37.72,6.11
37.74,2.97
37.76,6.51
37.78,6.80
37.80,4.85
37.82,5.05
37.84,6.01
37.86,5.55
37.88,5.96
37.90,3.37
37.92,4.74
37.94,3.18
37.96,5.95
37.98,5.80
38.00,4.85
38.02,5.45
38.04,2.67
38.06,6.29
38.08,4.30
38.10,5.19
38.12,6.67
38.14,3.87
38.16,6.80
38.18,5.19
38.20,5.04
38.22,5.83
38.24,3.13
38.26,5.89
38.28,5.09
38.30,6.55
38.32,4.67
38.34,4.46
38.36,5.55
38.38,4.91
38.40,3.24
38.42,4.71
38.44,6.90
38.46,4.86
38.48,3.69
38.50,6.07
38.52,2.22
38.54,1.82
38.56,4.99
38.58,5.27
38.60,5.33
38.62,3.66
38.64,4.77
38.66,2.90
38.68,5.33
38.70,2.58
38.72,4.78
38.74,5.39
38.76,2.37
38.78,4.22
38.80,6.18
38.82,7.32
38.84,2.75
38.86,5.51
38.88,3.15
38.90,2.99
38.92,7.41
38.94,6.02
38.96,3.83
38.98,5.39
39.00,6.07
39.02,5.45
39.04,8.67
39.06,6.37
39.08,1.23
39.10,5.66
39.12,5.53
39.14,7.08
39.16,8.43
39.18,8.79
39.20,9.92
39.22,15.84
39.24,17.48
39.26,18.95
39.28,24.93
39.30,29.44
39.32,35.34
39.34,37.25
39.36,45.59
39.38,49.11
39.40,57.10
39.42,59.92
39.44,60.89
39.46,67.45
39.48,66.66
39.50,69.67
39.52,69.25
39.54,66.80
39.56,62.07
39.58,58.54
39.60,54.10
39.62,49.64
39.64,46.36
39.66,39.89
39.68,32.73
39.70,30.34
39.72,21.86
39.74,20.99
39.76,16.33
39.78,14.17
39.80,12.53
39.82,8.80
39.84,9.69
39.86,7.52
39.88,10.49
39.90,6.04
39.92,8.25
39.94,7.41
39.96,5.00
39.98,9.40
40.00,6.66
40.02,6.14
40.04,12.41
40.06,14.81
40.08,15.84
40.10,18.40
40.12,24.63
40.14,27.17
40.16,29.22
40.18,35.49
40.20,36.61
40.22,41.40
40.24,43.88
40.26,44.62
40.28,47.70
40.30,51.83
40.32,47.82
40.34,47.09
40.36,43.71
40.38,43.54
40.40,38.48
40.42,35.13
40.44,30.04
40.46,24.34
40.48,20.79
40.50,20.04
40.52,15.66
40.54,14.35
40.56,6.35
40.58,11.09
40.60,7.40
40.62,10.43
40.64,5.71
40.66,6.02
40.68,6.62
40.70,4.08
40.72,6.55
40.74,4.18
40.76,7.02
40.78,6.24
40.80,5.77
40.82,3.93
40.84,4.69
40.86,5.45
40.88,1.95
40.90,4.17
40.92,6.41
40.94,3.10
40.96,6.92
40.98,4.06
41.00,5.48
41.02,3.28
41.04,5.73
41.06,5.69
41.08,6.70
41.10,7.03
41.12,6.88
41.14,5.31
41.16,3.16
41.18,6.99
41.20,3.04
41.22,4.34
41.24,6.11
41.26,5.67
41.28,7.39
41.30,4.99
41.32,2.46
41.34,4.59
41.36,5.26
41.38,4.47
41.40,7.12
41.42,4.63
41.44,2.85
41.46,5.70
41.48,3.28
41.50,7.55
41.52,5.41
41.54,2.90
41.56,6.62
41.58,8.55
41.60,1.99
41.62,6.35
41.64,5.73
41.66,5.26
41.68,5.52
41.70,5.74
41.72,3.96
41.74,7.12
41.76,2.98
41.78,7.94
41.80,7.29
41.82,3.23
41.84,5.00
41.86,7.15
41.88,4.29
41.90,4.81
41.92,4.48
41.94,6.89
41.96,4.30
41.98,5.32
42.00,6.32
42.02,5.44
42.04,4.80
42.06,4.56
42.08,4.92
42.10,6.25
42.12,6.48
42.14,9.26
42.16,12.35
42.18,13.81
42.20,14.57
42.22,16.60
42.24,19.12
42.26,21.11
42.28,23.92
42.30,29.32
42.32,28.37
42.34,32.39
42.36,32.87
42.38,38.34
42.40,32.30
42.42,34.99
42.44,33.30
42.46,31.21
42.48,30.95
42.50,28.48
42.52,24.17
42.54,23.84
42.56,21.20
42.58,20.09
42.60,14.90
42.62,15.93
42.64,11.61
42.66,7.38
42.68,9.84
42.70,7.90
42.72,5.88
42.74,7.97
42.76,5.39
42.78,7.28
42.80,5.38
42.82,6.46
42.84,6.23
42.86,5.85
42.88,3.54
42.90,6.43
42.92,5.06
42.94,8.02
42.96,5.73
42.98,6.13
43.00,3.86
43.02,4.39
43.04,5.15
43.06,3.24
43.08,3.24
43.10,4.84
43.12,4.88
43.14,5.30
43.16,6.68
43.18,4.40
43.20,6.02
43.22,4.78
43.24,4.71
43.26,5.39
43.28,1.90
43.30,5.10
43.32,4.04
43.34,3.61
43.36,2.17
43.38,4.34
43.40,2.18
43.42,6.31
43.44,4.64
43.46,2.48
43.48,3.99
43.50,6.13
43.52,4.11
43.54,4.58
43.56,4.45
43.58,4.81
43.60,2.45
43.62,4.93
43.64,4.16
43.66,9.43
43.68,4.68
43.70,4.32
43.72,6.48
43.74,4.77
43.76,5.38
43.78,3.69
43.80,7.33
43.82,4.06
43.84,5.56
43.86,6.70
43.88,4.54
43.90,5.00
43.92,5.88
43.94,6.02
43.96,3.36
43.98,5.27
44.00,3.58
44.02,3.88
44.04,4.03
44.06,6.82
44.08,7.39
44.10,8.91
44.12,4.92
44.14,3.74
44.16,3.55
44.18,7.41
44.20,2.69
44.22,4.52
44.24,4.15
44.26,7.62
44.28,3.48
44.30,6.65
44.32,6.97
44.34,4.75
44.36,5.70
44.38,2.69
44.40,4.87
44.42,4.68
44.44,1.13
44.46,5.62
44.48,5.53
44.50,2.46
44.52,2.88
44.54,3.88
44.56,4.21
44.58,4.54
44.60,3.56
44.62,3.49
44.64,5.46
44.66,4.29
44.68,4.84
44.70,4.66
44.72,5.69
44.74,4.77
44.76,6.29
44.78,5.15
44.80,6.33
44.82,6.87
44.84,2.81
44.86,6.38
44.88,7.67
44.90,3.54
44.92,4.95
